pair_id,finding_a,loc_a,finding_b,loc_b,label,notes
paper-0004-d1~pos~1-2,"Going from 10% to 90% is an 80-point gain, not the stated 70.",The long reversal:7-8,The percentage-point gain is miscalculated; 90 minus 10 is 80.,The long reversal:7-8,same,
code-0011-d1~neg~code-0011-d2,"The loop `for _ in range(n)` runs one iteration too many (the list already starts with two elements), producing more Fibonacci numbers than requested.",src/fib.py:19,"The recurrence subtracts (`fib[-1] - fib[-2]`) instead of adding, so it does not produce Fibonacci numbers.",src/fib.py:20,different,
spec-0008-d2~pos~1-2,The container port (8080) does not match the Service port 80 it is meant to back.,Deployment.spec.template.spec.containers.ports:19,Service traffic to port 80 will not reach the container listening on 8080.,Deployment.spec.template.spec.containers.ports:19,same,
code-0009-d1~neg~code-0009-d3,"The loop `for i in range(1, number)` stops at `number - 1`, so the factor `number` itself is never multiplied in; it should be `range(1, number + 1)`.",src/factorial.py:15,"The negative guard is `number < -1`, so `-1` is accepted even though factorial is undefined for negative values; it should be `number < 0`.",src/factorial.py:12,different,
code-0006-d1~neg~code-0006-d2,"The divmod arguments are swapped: `divmod(arabic, number)` divides the table value by the running number, but it must divide the number by the value (`divmod(number, arabic)`).",src/to_roman.py:32,"Each symbol is repeated `factor + 1` times instead of `factor`, appending one extra copy of every Roman symbol.",src/to_roman.py:33,different,
paper-0006-d2~pos~1-3,"The rate went down (33% to 12%), so 'more than doubled' is the wrong direction.",A steep fall:7,More than doubled' contradicts the reported decrease in the hunger rate.,A steep fall:7,same,
code-0003-d2~pos~0-1,"The initial upper bound is `len(a) - 1`, so the last element (index len(a)-1) is excluded from the searched range; the default should be `len(a)`.",src/search.py:19,"The default `hi` should be `len(a)`, not `len(a) - 1`; the final element is left outside the search interval.",src/search.py:19,same,
spec-0006-d1~neg~spec-0006-d3,"WORDPRESS_DB_HOST is set to `database`, but the database service is named `db`; there is no service or host `database`.",services.wordpress.environment:25,"WORDPRESS_DB_PASSWORD is `secret`, but the db user's password is `wordpress` (MYSQL_PASSWORD=wordpress), so authentication will fail.",services.wordpress.environment:27,different,
code-0013-d2~pos~1-2,`base += base` should be `base *= base`; each step must square the base.,src/binexp.py:20,Adding the base to itself doubles it rather than squaring it.,src/binexp.py:20,same,
spec-0005-d1~neg~spec-0005-d3,"grafana publishes host port 9090 (`9090:3000`), colliding with prometheus's host port 9090 (`9090:9090`); two services cannot bind the same host port.",services.grafana.ports:17,"prometheus mounts the named volume `metrics_data`, which is not declared under the top-level `volumes` key (only `prom_data` exists there).",services.prometheus.volumes:12,different,
paper-0017-d2~neg~paper-0017-d3,"If more than one-third of men smoke, then fewer than two-thirds do not, but the text says 'fewer than one-quarter do not'.",The gender gap:7-8,"With more than one-third of men and fewer than one in ten women smoking, men are more than three times as likely to smoke as women, but the text says 'less than twice as likely'.",The gender gap:8-9,different,
spec-0007-d1~neg~spec-0007-d2,"DB_HOST points at `postgres:5432`, but the database service is named `db` (its image is postgres, but there is no service or host `postgres`).",services.gitea.environment:6,"DB_USER is `admin`, but the Postgres role created by the db service is `gitea` (POSTGRES_USER=gitea), so the login role does not exist.",services.gitea.environment:8,different,
paper-0022-d2~pos~0-2,"Forest is said to be a little over one-third of habitable land and 'around one-half of all land', but habitable land is a subset of all land, so one-third of habitable land must be less than one-third of all land, not one-half of it.",How much forest remains:4-6,"Since habitable land is only part of all land, the forest share of all land must be smaller than its share of habitable land.",How much forest remains:4-6,same,
spec-0008-d3~pos~0-1,"The Service selector is `run: nginx`, which matches no pods: the Deployment labels its pods `run: my-nginx`, so the Service selects nothing.",Service.spec.selector:32,The Service selector `run: nginx` does not match the pod label `run: my-nginx`.,Service.spec.selector:32,same,
paper-0013-d2~pos~1-2,"Falling from over 2% to under 1% is more than halving, not doubling.",Slowing growth:8-9,More than doubled' contradicts the rate falling to less than 1%.,Slowing growth:8-9,same,
paper-0007-d1~pos~2-3,The stated ratio between low- and high-income rates is off by a factor of ten.,A vast gap:6,400 times higher' overstates the 450-to-11 ratio (which is ~40).,A vast gap:6,same,
code-0007-d3~pos~2-3,"The guard fails to reject 0, contradicting the 'positive integers' precondition.",src/collatz.py:12,"Passing 0 is accepted and never terminates, because the guard only rejects negatives.",src/collatz.py:12,same,
paper-0017-d3~pos~0-3,"With more than one-third of men and fewer than one in ten women smoking, men are more than three times as likely to smoke as women, but the text says 'less than twice as likely'.",The gender gap:8-9,33% versus under 10% cannot be 'less than twice'.,The gender gap:8-9,same,
paper-0001-d1~neg~paper-0001-d3,"The Results section labels 180 of 200 as 75%, but 180/200 is 90%.",Results:16-17,The Discussion claims RAG-Sum 'will generalize to any clinical documentation task' from a single 200-note test set - an unsupported over-generalization.,Discussion:22-23,different,
code-0008-d2~neg~code-0008-d3,"The digit is extracted with integer division (`n // 10`) instead of the remainder (`n % 10`), so it adds the truncated quotient rather than the last digit.",src/digits.py:19,"The loop condition is `while n > 1`, which stops before processing the final (most significant) digit; it should be `while n > 0`.",src/digits.py:18,different,
spec-0018-d1~neg~spec-0018-d2,"The StatefulSet's serviceName is `web-svc`, but the headless Service that governs it is named `nginx`; there is no Service `web-svc`.",StatefulSet.spec.serviceName:20,"The StatefulSet selector matchLabels is `app: web`, but its pod template labels are `app: nginx`; a StatefulSet's selector must match its template labels.",StatefulSet.spec.selector.matchLabels:24,different,
paper-0004-d3~pos~0-3,"It says more than 95% of youth have basic literacy, 'meaning fewer than 15% cannot read', but the complement of 95% is 5%, not 15%.",Recent progress:12,The illiterate share for youth is inconsistent with the stated 95% literacy.,Recent progress:12,same,
code-0005-d1~pos~1-3,"`total -= vals[roman[place]]` should add, not subtract; the else branch must accumulate with `+=`.",src/roman.py:24,The additive step uses `-=` where it should use `+=`.,src/roman.py:24,same,
code-0007-d1~pos~1-2,"The even-case step should be `n //= 2`, not `n //= 3`.",src/collatz.py:17,"Even numbers are divided by 3 rather than halved, contradicting the sequence in the docstring.",src/collatz.py:17,same,
code-0002-d2~neg~code-0002-d3,"The arguments to `divmod` are swapped: `divmod(n, len(seq))` should be `divmod(len(seq), n)`, so q and r are computed from the wrong operands.",src/partition.py:26,"The loop `for i in range(1, n)` iterates one time too few, producing n-1 parts instead of n (the docstring shows `divide(2, ...)` must yield two parts).",src/partition.py:30,different,
code-0003-d1~neg~code-0003-d3,"The midpoint comparison uses `x <= a[mid]`; a rightmost insertion point (per the docstring) requires `x < a[mid]`, so equal keys are routed into the left subrange rather than the right (bisect_left instead of bisect_right).",src/search.py:22,"The else branch sets `lo = mid` instead of `lo = mid + 1`, so when `x` belongs to the right half the loop cannot make progress and never terminates.",src/search.py:25,different,
spec-0011-d1~neg~spec-0011-d2,"The backend expects POSTGRES_DB=appdb, but the db service creates the database `example` (POSTGRES_DB=example), so the app targets a database that does not exist.",services.backend.environment:7,"The backend joins network `springnet`, which is not declared under the top-level `networks` key (only `spring-postgres` exists).",services.backend.networks:9,different,
spec-0016-d3~pos~2-3,"The network should be `elastic`, not `elk`.",services.kibana.networks:45,Dangling network reference in the kibana service.,services.kibana.networks:45,same,
paper-0006-d1~neg~paper-0006-d2,"The fall from 33% (1970) to 12% (2015) is called 'a decline of 31 percentage points', but 33 - 12 = 21 percentage points.",A steep fall:6,"Hunger is described as having 'more than doubled' over the period, but the rate fell from 33% to 12% — it decreased, so it cannot have doubled.",A steep fall:7,different,
spec-0001-d2~neg~spec-0001-d4,"autoscale.target_cpu_percent is 130, outside the allowed range [1, 100].",autoscale.target_cpu_percent:16,"tls.enabled is false while environment is production, violating the constraint that TLS must be enabled in production.",tls.enabled:29,different,
paper-0007-d1~neg~paper-0007-d2,"450 per 100,000 versus 11 per 100,000 is called 'roughly 400 times higher', but 450 / 11 is about 41 — roughly 40 times, not 400.",A vast gap:6,"900 deaths per 100,000 is described as 'nearly one in a thousand', but 900 per 100,000 is about 1 in 111 — nearly one in a hundred, not one in a thousand.",Before modern medicine:9-10,different,
spec-0008-d1~pos~0-2,"The Deployment's selector matchLabels is `run: web`, but the pod template labels are `run: my-nginx`; a Deployment's selector must match its template labels.",Deployment.spec.selector.matchLabels:8,The Deployment selects `run: web` but labels its pods `run: my-nginx`.,Deployment.spec.selector.matchLabels:8,same,
paper-0021-d2~neg~paper-0021-d3,"One-quarter of the 350 million tonnes of waste is given as 'roughly 250 million tonnes', but a quarter of 350 million is about 88 million, not 250 million.",Where it goes:8-9,"1-2 million tonnes reaching the ocean out of 350 million tonnes of waste is given as 'about 5%', but that ratio is about 0.5%.",Where it goes:9-11,different,
code-0014-d3~pos~0-1,"For negative inputs the value is multiplied by 1 (`decimal *= 1`) rather than -1, so it is never made positive and the while loop produces no digits.",src/dec2hex.py:24,`decimal *= 1` should be `decimal *= -1`; the sign is never flipped.,src/dec2hex.py:24,same,
spec-0015-d2~pos~0-2,"The proxy targets FLASK_SERVER_ADDR=flask-app:9000, but the flask-app service publishes port 8000, so the proxy points at the wrong port.",services.nginx-proxy.environment:8,FLASK_SERVER_ADDR should use port 8000 to match the flask-app service.,services.nginx-proxy.environment:8,same,
